,trek_name,location
0,Kedarkantha ,UK
1,Tamenglong Forest ,Manipur
2,Dayara Bugyal,UK
3,Sandakphu,WB
4,Deoriatal - Chandrashila,UK
5,Kuari Pass,UK
6,Goecha la,Sikkim
7,Experiential Learning - Deoriatal Chandrashila,UK
8,Experiential Learning - Dayara Bugyal,UK
9,Rupin Pass,HP
10,Kedartal,UK
11,Gidara Bugyal,UK
12,Buran Ghati,HP
13,Hampta Pass,HP
14,Gaumukh Tapovan,UK
15,Tarsar Marsar,JK
16,Miyar Valley ,HP
17,Kashmir Great Lakes,JK
18,Pin Bhaba Pass,HP
19,Bhrigu Lake,HP
20,Pangarchulla Peak ,UK
21,Brahmatal ,UK
22,Nag Tibba,UK
23,Har Ki Dun Ruinsara Tal,UK
24,Phulara Ridge,UK
25,Mukta Top,UK
26,Deoban ,UK
27,Khopra Ridge,Nepal
28,EBC Gokyo Ri,Nepal
29,Beas Kund,HP
30,Bali Pass Ruinsara Lake ,UK
31,Valley Of Flowers,UK
32,Kanamo Peak,HP
